year,price,transmission,mileage,fuel_type,engine_size,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol
2019,24600,Semi-Auto,9174.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,24700,Semi-Auto,12944.0,Diesel,2.0,0,0,0,1,1,0,0,0
2018,22000,Semi-Auto,11439.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,24500,Semi-Auto,2827.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,30300,Semi-Auto,4000.0,Diesel,1.6,0,0,0,1,1,0,0,0
2019,25799,Semi-Auto,10996.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,28499,Semi-Auto,15096.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,29899,Semi-Auto,8601.0,Diesel,2.0,0,0,0,1,1,0,0,0
2017,20749,Semi-Auto,19119.0,Hybrid,2.0,0,0,0,1,0,1,0,0
2016,29189,Semi-Auto,20000.0,Petrol,3.0,0,0,0,1,0,0,0,1
2016,18449,Semi-Auto,23077.0,Diesel,2.1,0,0,0,1,1,0,0,0
2017,20700,Semi-Auto,18346.0,Diesel,2.1,0,0,0,1,1,0,0,0
2017,19350,Semi-Auto,35707.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,28000,Semi-Auto,15026.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,62199,Semi-Auto,95.0,Petrol,4.0,0,0,0,1,0,0,0,1
2019,33699,Semi-Auto,1604.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,24699,Semi-Auto,6783.0,Petrol,1.5,0,0,0,1,0,0,0,1
2018,22549,Semi-Auto,19656.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,24299,Semi-Auto,12321.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,29699,Semi-Auto,5230.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,29899,Semi-Auto,8447.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,25699,Semi-Auto,13044.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,69399,Semi-Auto,1615.0,Petrol,4.0,0,0,0,1,0,0,0,1
2019,29199,Semi-Auto,4456.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,31899,Semi-Auto,4300.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,45199,Semi-Auto,7635.0,Petrol,3.0,0,0,0,1,0,0,0,1
2019,33599,Semi-Auto,1000.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,23879,Manual,1000.0,Petrol,1.6,0,1,0,0,0,0,0,1
2019,23879,Manual,1000.0,Petrol,1.6,0,1,0,0,0,0,0,1
2019,23499,Manual,712.0,Petrol,1.6,0,1,0,0,0,0,0,1
2019,22899,Manual,4387.0,Petrol,1.6,0,1,0,0,0,0,0,1
2019,23299,Manual,1617.0,Petrol,1.6,0,1,0,0,0,0,0,1
2019,29199,Semi-Auto,1357.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,34299,Semi-Auto,3938.0,Diesel,2.0,0,0,0,1,1,0,0,0
2016,20449,Semi-Auto,11017.0,Diesel,2.1,0,0,0,1,1,0,0,0
2017,23899,Semi-Auto,20604.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,32099,Semi-Auto,724.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,34449,Semi-Auto,4070.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,20449,Semi-Auto,13755.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,20349,Semi-Auto,13910.0,Petrol,1.5,0,0,0,1,0,0,0,1
2018,28499,Semi-Auto,7661.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,22899,Semi-Auto,14959.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,29299,Semi-Auto,5979.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,30899,Semi-Auto,7942.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,25799,Semi-Auto,1000.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,23399,Semi-Auto,3342.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,32199,Semi-Auto,2985.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,30599,Semi-Auto,4272.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,25899,Semi-Auto,6765.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,28500,Semi-Auto,5107.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,25949,Semi-Auto,12722.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,25499,Semi-Auto,15414.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,33299,Semi-Auto,2000.0,Diesel,2.0,0,0,0,1,1,0,0,0
2018,27299,Semi-Auto,3150.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,31609,Semi-Auto,1000.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,28000,Semi-Auto,9231.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,24450,Semi-Auto,15004.0,Diesel,2.0,0,0,0,1,1,0,0,0
